kind,label,response
answerable,correct," tamstatin-144 is primarily cleared by the liver.
I don't have enough information to answer.
I don't have enough informa"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of tamstatin-959 is 62 hours.
I don't have enough information to answer.

I don't have enough information"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of tamtinib-990 is 38 hours.
I don't have enough information to answer.

I don't have enough information "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of tamxaban-464 is 228 daltons.
I don't have enough information to answer.
I don't have enough inf"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velciclib-297 is primarily cleared by the liver.
I don't have enough information to answer.
I don't have enough informa"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velciclib-308 is 39 hours.
I don't have enough information to answer.
I don't have enough information "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. The half-life of velciclib-308 is
answerable,correct," velgliptin-217 is primarily cleared by the liver.
I don't have enough information to answer.
I don't have enough inform"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velgliptin-275 is 514 daltons. I don't have enough information to answer.
 I don't have enough "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velgliptin-477 is 87 hours.
I don't have enough information to answer.
I don't have enough information"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of vellukast-141 is 812 daltons.
I don't have enough information to answer.
I don't have enough in"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of vellukast-349 is 327 daltons.
I don't have enough information to answer.
I don't have enough in"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of vellukast-359 is 730 daltons.
I don't have enough information to answer.
I don't have enough in"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of vellukast-440 is 59 hours.
I don't have enough information to answer.
I don't have enough information "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct, The half-life of vellukast-582 is 86-582 is 86-582 is 86-582 is 8
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velmab-160 is 36 hours.
I don't have enough information to answer.
I don't have enough information to "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velmab-273 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough informati"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velmab-344 is 91 hours.
I don't have enough information to answer.
I don't have enough information to "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velparib-586 is primarily cleared by the kidney.
 I don't have enough information to answer.
 I don't have enough infor"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velparib-594 is 551 daltons.
I don't have enough information to answer.
I don't have enough inf"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velparib-796 is 12 hours.
I don't have enough information to answer.
I don't have enough information t"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velparib-801 is 44 hours.
I don't have enough information to answer.
I don't have enough information t"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velprazole-213 is 527 daltons. I don't have enough information to answer.
 I don't have enough "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velprazole-240 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough infor"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velprazole-307 is 551 daltons. I don't have enough information to answer.
 I don't have enough "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velprazole-380 is 379 daltons.
I don't have enough information to answer.
I don't have enough i"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velprazole-571 is 411 daltons. I don't have enough information to answer.
 I don't have enough "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velprazole-599 is primarily cleared by the liver.
I don't have enough information to answer.
I don't have enough inform"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velprazole-915 is 81 hours.
I don't have enough information to answer.
I don't have enough information"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velsartan-233 is 620 daltons.
I don't have enough information to answer.
I don't have enough in"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velsartan-270 is 648 daltons.
I don't have enough information to answer.
I don't have enough in"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velsartan-474 is primarily cleared by the liver.
I don't have enough information to answer.
I don't have enough informa"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velsartan-687 is 36 H.
I don't have enough information to answer.
I don't have enough information to a"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velsartan-859 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough inform"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velsartan-866 is 7 hours.
I don't have enough information to answer.
I don't have enough information t"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velstatin-444 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough inform"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velstatin-628 is 839 daltons.
I don't have enough information to answer.
I don't have enough in"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velstatin-932 is 85 hours.
I don't have enough information to answer.
I don't have enough information "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velstatin-998 is 297 daltons.
I don't have enough information to answer.
I don't have enough in"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," veltinib-143 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough informa"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of veltinib-178 is 538 daltons.
I don't have enough information to answer.
I don't have enough inf"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct, The half-life of veltinib-279 is 80-hat-279 is 80-hat-279 is 80-hat-
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," veltinib-292 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough informa"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," veltinib-404 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough informa"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," veltinib-552 is primarily cleared by the liver.
I don't have enough information to answer.
I don't have enough informat"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velxaban-152 is 54 hours.
I don't have enough information to answer.
I don't have enough information t"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of velxaban-241 is 46 hours.
I don't have enough information to answer.
I don't have enough information t"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velxaban-322 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough informa"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velxaban-540 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough informa"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," velxaban-600 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough informa"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of velxaban-651 is 536 daltons.
I don't have enough information to answer.
I don't have enough inf"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of zanociclib-447 is 255 daltons.
I don't have enough information to answer.
I don't have enough i"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of zanogliptin-231 is 26 hours.
I don't have enough information to answer.
I don't have enough informatio"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of zanogliptin-303 is 854 daltons.
I don't have enough information to answer.
I don't have enough "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of zanogliptin-385 is 805 daltons.
I don't have enough information to answer.
I don't have enough "
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,degenerate, zanolukast-268 is primarily cleared by the liverukast-268 is primarily cleared by the liverukast-268 is primarily clear
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of zanolukast-778 is 62 hours.
I don't have enough information to answer.
I don't have enough information"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of zanolukast-908 is 772 daltons.
I don't have enough information to answer.
I don't have enough i"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of zanomab-200 is 698 daltons.
I don't have enough information to answer.
I don't have enough info"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," zanomab-419 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough informat"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," zanomab-764 is primarily cleared by the liver.
I don't have enough information to answer.
I don't have enough informati"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of zanomab-907 is 393 daltons.
I don't have enough information to answer.
I don't have enough info"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," zanoparib-456 is primarily cleared by the kidney.
I don't have enough information to answer.
I don't have enough inform"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The molecular weight of zanoparib-801 is 374 daltons.
I don't have enough information to answer.
I don't have enough in"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," The half-life of zanoparib-834 is 5 hours.
I don't have enough information to answer.
I don't have enough information t"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," zanoprazole-853 is primarily cleared by the liver.
I don't have enough information to answer.
I don't have enough infor"
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,correct," zanosartan-177 is primarily cleared by the liver.
I don't have enough information to answer.
I don't have enough inform"
